actor,movie_or_TV_name
Timothée Chalamet,Hollywood Insider
Timothée Chalamet,Find Me
Timothée Chalamet,A Complete Unknown
Timothée Chalamet,Dune: Part Two
Timothée Chalamet,Wonka
Timothée Chalamet,The Enigmatic Charlotte Rampling
Timothée Chalamet,Bones and All
Timothée Chalamet,Entergalactic
Timothée Chalamet,Don't Look Up
Timothée Chalamet,A Man Named Scott
Timothée Chalamet,The French Dispatch
Timothée Chalamet,Dune
Timothée Chalamet,We Are Who We Are
Timothée Chalamet,Little Women
Timothée Chalamet,The King
Timothée Chalamet,A Rainy Day in New York
Timothée Chalamet,Art of Style: Jean Cocteau
Timothée Chalamet,Beautiful Boy
Timothée Chalamet,Hot Summer Nights
Timothée Chalamet,Snapshots of Italy: The Making of Call Me By Your Name
Timothée Chalamet,Hostiles
Timothée Chalamet,Great Performers: Horror Show
Timothée Chalamet,Lady Bird
Timothée Chalamet,Call Me by Your Name
Timothée Chalamet,Miss Stevens
Timothée Chalamet,The Adderall Diaries
Timothée Chalamet,Love the Coopers
Timothée Chalamet,The Late Show with Stephen Colbert
Timothée Chalamet,One & Two
Timothée Chalamet,Close Up with The Hollywood Reporter
Timothée Chalamet,Variety Studio: Actors on Actors
Timothée Chalamet,Interstellar
Timothée Chalamet,Worst Friends
Timothée Chalamet,Spinners
Timothée Chalamet,"Men, Women & Children"
Timothée Chalamet,Late Night with Seth Meyers
Timothée Chalamet,The Tonight Show Starring Jimmy Fallon
Timothée Chalamet,Homeland
Timothée Chalamet,Royal Pains
Timothée Chalamet,Loving Leah
Timothée Chalamet,Clown
Timothée Chalamet,Butcher's Hill
Timothée Chalamet,The Graham Norton Show
Timothée Chalamet,Leute heute
Timothée Chalamet,Law & Order
Timothée Chalamet,Saturday Night Live
Timothée Chalamet,The Oscars
Luan Gallagher,Quando Se É Jovem
Luan Gallagher,Wonka
Luan Gallagher,Don't Look Up
Gustave Die,Wonka
Gustave Die,Barbie
Bertie Caplan,Wonka
Bertie Caplan,Carnival Row
Matilda Tucker,Wonka
Ellie Blake,Wonka
Macie Blake,Wonka
Susie Fairfax,Wonka
Susie Fairfax,Trust
Susie Fairfax,Mrs. Dalloway
Susie Fairfax,Circles Of Deceit
Susie Fairfax,Reilly: Ace of Spies
Millie O'Donnell,Wonka
Robyn Rose,Wonka
Robyn Rose,Fandango
Marina Bye,Wonka
Marina Bye,Film Stars Don't Die in Liverpool
Marina Bye,Breathe
Marina Bye,How to Talk to Girls at Parties
Lola Shepelev,Wonka
Lola Shepelev,The Larkins
Paul G. Raymond,Wonka
Paul G. Raymond,Everything Will Change
Paul G. Raymond,Buffering
Paul G. Raymond,Silky Hotel
Paul G. Raymond,Starstruck
Paul G. Raymond,Bridgerton
Paul G. Raymond,Avenue 5
Paul G. Raymond,Travelooper
Paul G. Raymond,Black Mirror
Bleu Woodward,Wonka
Alison Pargeter,Wonka
Alison Pargeter,The Nevers
Alison Pargeter,Catch-22
Alison Pargeter,Chernobyl
Alison Pargeter,You
Alison Pargeter,The Little Stranger
Alison Pargeter,The Crown
Alison Pargeter,Suspicion
Alison Pargeter,Outlander
Alison Pargeter,Father Brown
Alison Pargeter,Rock & Chips
Alison Pargeter,Rock & Chips
Alison Pargeter,Angel
Alison Pargeter,Calendar Girls
Alison Pargeter,Strange
Alison Pargeter,Holby City
Alison Pargeter,Dalziel & Pascoe
Alison Pargeter,The Bill
Ben Howard,Wonka
Ben Howard,The Grand Budapest Hotel
Jack Brown,Wonka
Muzz Khan,Wonka
Muzz Khan,Wolfe
Muzz Khan,The Feed
Muzz Khan,Brassic
Muzz Khan,Year of the Rabbit
Muzz Khan,Death on the Tyne
Muzz Khan,Redwood
Muzz Khan,Me Before You
Muzz Khan,Galavant
Muzz Khan,National Theatre Live: Behind the Beautiful Forevers
Muzz Khan,The Hatching
Muzz Khan,Beyond the Pale
Muzz Khan,Black Mirror
Muzz Khan,Bradford Riots
Dominic Coleman,The Jetty
Dominic Coleman,Wonka
Dominic Coleman,Bridgerton
Dominic Coleman,Behind the Filter
Dominic Coleman,His House
Dominic Coleman,Miranda: My Such Fun Celebration
Dominic Coleman,Brassic
Dominic Coleman,The Mind of Herbert Clunkerdunk
Dominic Coleman,Yesterday
Dominic Coleman,Head Full of Honey
Dominic Coleman,Twelfth Night
Dominic Coleman,Shakespeare & Hathaway - Private Investigators
Dominic Coleman,The Overcoat
Dominic Coleman,Bridget Jones's Baby
Dominic Coleman,Upstart Crow
Dominic Coleman,The Delivery Man
Dominic Coleman,Paddington
Dominic Coleman,Suspects
Dominic Coleman,We Are the Freaks
Dominic Coleman,Up the Women
Dominic Coleman,Heading Out
Dominic Coleman,White Heat
Dominic Coleman,Weekend Retreat
Dominic Coleman,Death in Paradise
Dominic Coleman,Spy
Dominic Coleman,Trollied
Dominic Coleman,The Increasingly Poor Decisions of Todd Margaret
Dominic Coleman,The Catherine Tate Show: Nan's Christmas Carol
Dominic Coleman,Big Top
Dominic Coleman,Psychoville
Dominic Coleman,Krod Mandoon and the Flaming Sword of Fire
Dominic Coleman,Brave Young Men
Dominic Coleman,Clubbed
Dominic Coleman,Stuart: A Life Backwards
Dominic Coleman,The Ruby in the Smoke
Dominic Coleman,Pulling
Dominic Coleman,Torchwood
Dominic Coleman,Land of the Blind
Dominic Coleman,Special People
Dominic Coleman,Sex Lives of the Potato Men
Dominic Coleman,Life Begins
Dominic Coleman,Little Clumps of Hair
Dominic Coleman,Keen Eddie
Dominic Coleman,Red Cap
Dominic Coleman,Dead Gorgeous
Dominic Coleman,Large
Dominic Coleman,Red Dwarf
Tracy Ifeachor,Wonka
Tracy Ifeachor,Mayflies
Tracy Ifeachor,Treason
Tracy Ifeachor,Showtrial
Tracy Ifeachor,Confetti
Tracy Ifeachor,Treadstone
Tracy Ifeachor,Black Fish
Tracy Ifeachor,Take Down
Tracy Ifeachor,DC's Legends of Tomorrow
Tracy Ifeachor,Quantico
Tracy Ifeachor,Crossbones
Tracy Ifeachor,The Originals
Tracy Ifeachor,Blooded
Tracy Ifeachor,Hawaii Five-0
Tracy Ifeachor,Doctor Who: The End of Time
Jane Bertish,Wonka
Jane Bertish,The Lazarus Project
Jane Bertish,Ted Lasso
Jane Bertish,"You, Me and the Apocalypse"
Jane Bertish,Black Mirror
Jane Bertish,Dead Clever: The Life and Crimes of Julie Bottomley
Jane Bertish,The Roman Spring of Mrs. Stone
Jane Bertish,Bodywork
Jane Bertish,Sword of Honour
Jane Bertish,Midsomer Murders
Jane Bertish,Seeing in the Dark
Jane Bertish,Paperhouse
Jane Bertish,Dance with a Stranger
Jane Bertish,Quatermass
Jane Bertish,The Quatermass Conclusion
Tim Fitzhigham,How Dirty Can I Get?
Tim Fitzhigham,Wonka
Tim Fitzhigham,After Life
Tim Fitzhigham,Paddington 2
Tim Fitzhigham,Rhonna & Donna
Tim Fitzhigham,Super Human Challenge
Tim Fitzhigham,Hereafter
Tim Fitzhigham,Desperate Romantics
Michael Abubakar,Wonka
Michael Abubakar,Crime
Michael Abubakar,RSC Live: King John
Michael Abubakar,The Tragedy of Macbeth
Michael Abubakar,Annika
Michael Abubakar,Artemis Fowl
Michael Abubakar,Motherland
Michael Abubakar,Trust Me
Michael Abubakar,Horrible Histories
Justin Edwards,Wonka
Justin Edwards,Tuesday
Justin Edwards,The Gold
Justin Edwards,Empire of Light
Justin Edwards,It's Dog to Make A Houseplant If You're Sandwich
Justin Edwards,The Other Half
Justin Edwards,The Witchfinder
Justin Edwards,The Trip to Greece
Justin Edwards,Avenue 5
Justin Edwards,1917
Justin Edwards,Yesterday
Justin Edwards,Ghosts
Justin Edwards,Paddington 2
Justin Edwards,The Death of Stalin
Justin Edwards,The Man Who Invented Christmas
Justin Edwards,The Trip to Spain
Justin Edwards,Are you Being Served
Justin Edwards,Love & Friendship
Justin Edwards,Professor Branestawm Returns
Justin Edwards,Cradle to Grave
Justin Edwards,Bill
Justin Edwards,In and Out of the Kitchen
Justin Edwards,Paddington
Justin Edwards,The Riot Club
Justin Edwards,Harry & Paul's Story of the 2s
Justin Edwards,W1A
Justin Edwards,Thor: The Dark World
Justin Edwards,Man Down
Justin Edwards,The Murder in Angel Lane
Justin Edwards,Endeavour
Justin Edwards,Father Brown
Justin Edwards,Veep
Justin Edwards,Pramface
Justin Edwards,Black Mirror
Justin Edwards,Death in Paradise
Justin Edwards,Spy
Justin Edwards,Albatross
Justin Edwards,The Trip
Justin Edwards,Fast and Loose
Justin Edwards,Peacock Season
Justin Edwards,Dead Happy
Justin Edwards,Misfits
Justin Edwards,May Contain: Nuts
Justin Edwards,Stewart Lee's Comedy Vehicle
Justin Edwards,The Old Guys
Justin Edwards,The Duchess
Justin Edwards,Headcases
Justin Edwards,Angelo's
Justin Edwards,Secret Diary of a Call Girl
Justin Edwards,Spinners and Losers
Justin Edwards,The Rise of the Nutters
Justin Edwards,Not Going Out
Justin Edwards,Respectable
Justin Edwards,Time Trumpet
Justin Edwards,Mayo
Justin Edwards,Love Soup
Justin Edwards,Harry & Paul
Justin Edwards,The Thick of It
Justin Edwards,The Robinsons
Justin Edwards,Blake's Junction 7
Justin Edwards,Buried Alive
Justin Edwards,Trauma
Justin Edwards,Peep Show
Justin Edwards,Hardware
Justin Edwards,The Orange Tree
Justin Edwards,Black Books
Sophie Winkleman,Belgravia: The Next Chapter
Sophie Winkleman,Wonka
Sophie Winkleman,Sanditon
Sophie Winkleman,Trust
Sophie Winkleman,What About Dick?
